component_id,project_id,component_name,vendor,alt_vendors,lead_time_days_p50,lead_time_days_p90,expedite_days,on_critical_path,dependent_milestone_id,notes,_key,component_owner_id,component_owner_name,component_progress_pct,status,last_update_utc
SC_proj_020_Inverters,proj_020,Inverters,,,180,270,27,TRUE,MS_proj_020_procurement,solar / WECC,proj_020,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z
SC_proj_020_Tracker_syst,proj_020,Tracker system,,,150,240,22,TRUE,MS_proj_020_procurement,solar / WECC,proj_020,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z
SC_proj_020_Main_power_t,proj_020,Main power transformer,,,1080,1560,162,TRUE,MS_proj_020_procurement,solar / WECC,proj_020,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z
SC_proj_021_Long-lead_eq,proj_021,Long-lead equipment,,,240,360,36,TRUE,MS_proj_021_procurement,other / ISO-NE,proj_021,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
SC_tall_wind_demo_WTG_nacelles,tall_wind_demo,WTG nacelles & blades,,,270,420,40,TRUE,MS_tall_wind_demo_procurement,wind / WECC,tall_wind_demo,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z
SC_tall_wind_demo_Towers,tall_wind_demo,Towers,,,180,270,27,TRUE,MS_tall_wind_demo_procurement,wind / WECC,tall_wind_demo,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z
SC_tall_wind_demo_Padmount/col,tall_wind_demo,Padmount/collector transformers,,,540,900,81,TRUE,MS_tall_wind_demo_procurement,wind / WECC,tall_wind_demo,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z
SC_Cape_Wind_new_build_WTG_nacelles,Cape_Wind_new_build,WTG nacelles & blades,,,270,420,40,TRUE,Cape_Wind_new_build_procurement,wind / WECC,cape_wind_new_build,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z
SC_Cape_Wind_new_build_Towers,Cape_Wind_new_build,Towers,,,180,270,27,TRUE,Cape_Wind_new_build_procurement,wind / WECC,cape_wind_new_build,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z
SC_Cape_Wind_new_build_Padmount/col,Cape_Wind_new_build,Padmount/collector transformers,,,540,900,81,TRUE,Cape_Wind_new_build_procurement,wind / WECC,cape_wind_new_build,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z
HY-BARTLETT56-MOD::general_mro_materials,HY-BARTLETT56-MOD,General MRO materials,Industrial distributor,Industrial distributor (alt),270,441,40,TRUE,HY-BARTLETT56-MOD_MS3,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
HY-BARTLETT56-MOD::specialty_parts,HY-BARTLETT56-MOD,Specialty parts,OEM/aftermarket,OEM/aftermarket (alt),270,441,40,TRUE,HY-BARTLETT56-MOD_MS3,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
hydro_mod_sinclair::general_mro_materials,hydro_mod_sinclair,General MRO materials,Industrial distributor,Industrial distributor (alt),270,441,40,TRUE,hydro_mod_sinclair_MS6,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
hydro_mod_sinclair::specialty_parts,hydro_mod_sinclair,Specialty parts,OEM/aftermarket,OEM/aftermarket (alt),270,441,40,TRUE,hydro_mod_sinclair_MS5,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
MCI-NGC5::gt_combustion_parts,MCI-NGC5,GT combustion parts,GT OEM/aftermarket,GT OEM/aftermarket (alt),297,504,44,TRUE,MCI-NGC5_MS2,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
MCI-NGC5::hrsg_tube_panels,MCI-NGC5,HRSG tube panels,Boiler OEM/aftermarket,Boiler OEM/aftermarket (alt),297,504,44,TRUE,MCI-NGC5_MS5,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z
MCI-NGC5::valves_actuators,MCI-NGC5,Valves & actuators,Valve supplier,Valve supplier (alt),270,462,40,TRUE,MCI-NGC5_MS2,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z
MCI-NGCC-10-11-7FA05::gt_combustion_parts,MCI-NGCC-10-11-7FA05,GT combustion parts,GT OEM/aftermarket,GT OEM/aftermarket (alt),297,504,44,TRUE,MCI-NGCC-10-11-7FA05_MS3,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
MCI-NGCC-10-11-7FA05::hrsg_tube_panels,MCI-NGCC-10-11-7FA05,HRSG tube panels,Boiler OEM/aftermarket,Boiler OEM/aftermarket (alt),297,504,44,TRUE,MCI-NGCC-10-11-7FA05_MS3,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z
MCI-NGCC-10-11-7FA05::valves_actuators,MCI-NGCC-10-11-7FA05,Valves & actuators,Valve supplier,Valve supplier (alt),270,462,40,TRUE,MCI-NGCC-10-11-7FA05_MS6,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z
NU-UP-retire::valve_actuator_kits,NU-UP-retire,Valve actuator kits,Valve supplier,Valve supplier (alt),270,462,40,TRUE,NU-UP-retire_MS4,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z
NU-UP-retire::instrumentation_spares,NU-UP-retire,Instrumentation spares,Nuclear OEM,Nuclear OEM (alt),270,441,40,TRUE,NU-UP-retire_MS2,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
NU-UP-retire::outage_scaffolding_shielding,NU-UP-retire,Outage scaffolding/shielding,Outage services,Outage services (alt),270,441,56,TRUE,NU-UP-retire_MS4,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
NU-UP-VOG1::valve_actuator_kits,NU-UP-VOG1,Valve actuator kits,Valve supplier,Valve supplier (alt),270,462,40,TRUE,NU-UP-VOG1_MS3,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z
NU-UP-VOG1::instrumentation_spares,NU-UP-VOG1,Instrumentation spares,Nuclear OEM,Nuclear OEM (alt),270,441,40,TRUE,NU-UP-VOG1_MS6,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
NU-UP-VOG1::outage_scaffolding_shielding,NU-UP-VOG1,Outage scaffolding/shielding,Outage services,Outage services (alt),270,441,40,TRUE,NU-UP-VOG1_MS3,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
NU-UP-VOG2::valve_actuator_kits,NU-UP-VOG2,Valve actuator kits,Valve supplier,Valve supplier (alt),270,462,28,TRUE,NU-UP-VOG2_MS3,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z
NU-UP-VOG2::instrumentation_spares,NU-UP-VOG2,Instrumentation spares,Nuclear OEM,Nuclear OEM (alt),270,441,40,TRUE,NU-UP-VOG2_MS6,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
NU-UP-VOG2::outage_scaffolding_shielding,NU-UP-VOG2,Outage scaffolding/shielding,Outage services,Outage services (alt),270,441,40,TRUE,NU-UP-VOG2_MS6,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
Plant_28_retirement::general_mro_materials,retire_Plant28,General MRO materials,Industrial distributor,Industrial distributor (alt),270,441,40,TRUE,retire_Plant28_MS2,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
Plant_28_retirement::specialty_parts,retire_Plant28,Specialty parts,OEM/aftermarket,OEM/aftermarket (alt),270,441,40,TRUE,retire_Plant28_MS5,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
proj_011::general_mro_materials,proj_011,General MRO materials,Industrial distributor,Industrial distributor (alt),270,441,40,TRUE,MS_proj_011_decommissioning_start,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
proj_011::specialty_parts,proj_011,Specialty parts,OEM/aftermarket,OEM/aftermarket (alt),270,441,40,TRUE,MS_proj_011_decommissioning_start,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
proj_017::wtg_nacelles_blades,proj_017,WTG nacelles & blades,Wind OEM/aftermarket,Wind OEM/aftermarket (alt),270,462,40,TRUE,MS_proj_017_decommissioning_start,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z
proj_017::towers,proj_017,Towers,Structural supplier,Structural supplier (alt),270,462,16,TRUE,MS_proj_017_decommissioning_start,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z
proj_017::padmount_collector_transformer,proj_017,Padmount/collector transformer,Electrical OEM,Electrical OEM (alt),1324,1546,148,TRUE,MS_proj_017_decommissioning_start,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z
proj_019::general_mro_materials,proj_019,General MRO materials,Industrial distributor,Industrial distributor (alt),270,441,40,TRUE,MS_proj_019_construction,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
proj_019::specialty_parts,proj_019,Specialty parts,OEM/aftermarket,OEM/aftermarket (alt),270,441,40,TRUE,MS_proj_019_construction,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
proj_022::hx_plate_pack,proj_022,HX plate pack,HX OEM/aftermarket,HX OEM/aftermarket (alt),270,462,40,TRUE,MS_proj_022_decommissioning_start,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
proj_022::pump_impeller_seal_kit,proj_022,Pump impeller/seal kit,Rotating equipment vendor,Rotating equipment vendor (alt),270,462,40,TRUE,MS_proj_022_decommissioning_start,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z
proj_022::filtration_cartridges,proj_022,Filtration cartridges,Contractor,Contractor (alt),270,441,40,TRUE,MS_proj_022_decommissioning_start,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
retire_bowen_1_2::general_mro_materials,retire_bowen_1_2,General MRO materials,Industrial distributor,Industrial distributor (alt),270,441,40,TRUE,retire_bowen_1_2_MS2,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
retire_bowen_1_2::specialty_parts,retire_bowen_1_2,Specialty parts,OEM/aftermarket,OEM/aftermarket (alt),270,441,40,TRUE,retire_bowen_1_2_MS4,Auto-filled lead time/need-by/criticality; progress inferred vs. need-by.,,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z
SC_proj_019_Long-lead_equipment,proj_019,Long-lead equipment,,,240,360,36,TRUE,MS_proj_019_long-lead_pos_placed,Generated for transmission modernization,proj_019,RES::SCM_LEAD,Scm Lead,0,Planned,2025-11-29T07:53:54Z
SC_proj_017_WTG_nacelles_&_blades,proj_017,WTG nacelles & blades,,,270,420,40,TRUE,MS_proj_017_procurement,Generated for wind new build,proj_017,RES::WIND_LEAD,Wind Lead,0,Planned,2025-11-29T07:54:34Z
SC_proj_017_Towers,proj_017,Towers,,,180,270,27,TRUE,MS_proj_017_procurement,Generated for wind new build,proj_017,RES::WIND_LEAD,Wind Lead,0,Planned,2025-11-29T07:54:34Z
SC_proj_017_Padmount/collector_transformers,proj_017,Padmount/collector transformers,,,540,900,81,TRUE,MS_proj_017_procurement,Generated for wind new build,proj_017,RES::ELEC_LEAD,Elec Lead,0,Planned,2025-11-29T07:54:34Z
SC_proj_019_Long-lead_equipment,proj_019,Long-lead equipment,,,240,360,36,TRUE,MS_proj_019_long-lead_pos_placed,Generated for transmission modernization,proj_019,RES::SCM_LEAD,Scm Lead,0,Planned,2025-11-29T07:54:34Z
